File Name	Gallery Caption	Identification Basis	Sort Group
733443011_1399880695536006_6680311752568557163_n.jpg	Red Carpet Balloon Setup	Visible photo and catalogue context	Featured event setups
ChatGPT Image Jun 15, 2026, 10_34_47 AM (3).png	Black and Gold Event Aisle Setup	Visible photo and catalogue context	Featured event setups
ChatGPT Image Jun 15, 2026, 02_51_00 AM (2).png	Event Hall Balloon Arch	Visible photo and catalogue context	Featured event setups
ChatGPT Image Jun 15, 2026, 02_51_00 AM (1).png	Pink and Black Event Hall Setup	Visible photo and catalogue context	Featured event setups
ChatGPT Image Jun 15, 2026, 02_27_42 AM (2).png	Red and White Celebration Backdrop	Visible photo and catalogue context	Featured event setups
ChatGPT Image Jul 6, 2026, 09_55_16 PM.png	Red Carpet Aisle Setup	Visible photo and catalogue context	Featured event setups
ChatGPT Image Jun 15, 2026, 02_22_57 AM (5).png	White and Gold Celebration Backdrop	Visible photo and catalogue context	Featured event setups
Baby Shower theme 2.png	Baby Shower Backdrop Display	File name and visible photo	Baby and bridal showers
ChatGPT Image Jun 14, 2026, 11_04_34 PM (5).png	Baby Shower Balloon Backdrop	Visible photo and catalogue context	Baby and bridal showers
Baby Shower Set up.png	Baby Shower Table Setup	File name and visible photo	Baby and bridal showers
Bridal Shower Set up.png	Bridal Shower Table Setup	File name and visible photo	Baby and bridal showers
Baby Shower theme1.png	Sage and Gold Baby Shower Display	File name and visible photo	Baby and bridal showers
Birthday theme2.png	Black and Gold Birthday Display	File name and visible photo	Birthday and milestone themes
ChatGPT Image Jun 14, 2026, 11_17_36 PM (5).png	Black and Gold Milestone Backdrop	Visible photo and catalogue context	Birthday and milestone themes
ChatGPT Image Jun 14, 2026, 11_54_45 PM (2).png	Black and Red Milestone Birthday Backdrop	Visible photo and catalogue context	Birthday and milestone themes
ChatGPT Image Jun 15, 2026, 03_09_55 AM (8).png	Blue Balloon Birthday Backdrop	Visible photo and catalogue context	Birthday and milestone themes
ChatGPT Image Jun 14, 2026, 11_04_35 PM (7).png	Carnival Birthday Display	Visible photo and catalogue context	Birthday and milestone themes
Gatsby themed Party.png	Gatsby Milestone Party Backdrop	File name and visible photo	Birthday and milestone themes
ChatGPT Image Jun 15, 2026, 10_34_49 AM (6).png	Gold 50th Birthday Backdrop	Visible photo and catalogue context	Birthday and milestone themes
ChatGPT Image Jun 15, 2026, 03_09_54 AM (3).png	Green Balloon Birthday Backdrop	Visible photo and catalogue context	Birthday and milestone themes
ChatGPT Image Jun 15, 2026, 03_09_54 AM (5).png	Green Birthday Dessert Table	Visible photo and catalogue context	Birthday and milestone themes
Birthday theme3.png	Pink Balloon Birthday Backdrop	File name and visible photo	Birthday and milestone themes
ChatGPT Image Jun 15, 2026, 10_34_50 AM (8).png	Pink Balloon Birthday Backdrop	Visible photo and catalogue context	Birthday and milestone themes
ChatGPT Image Jun 14, 2026, 11_54_47 PM (7).png	Pink Birthday Backdrop	Visible photo and catalogue context	Birthday and milestone themes
ChatGPT Image Jun 14, 2026, 11_54_48 PM (9).png	Purple Balloon Birthday Arch	Visible photo and catalogue context	Birthday and milestone themes
ChatGPT Image Jun 14, 2026, 11_04_33 PM (3).png	Train Birthday Backdrop	Visible photo and catalogue context	Birthday and milestone themes
ChatGPT Image Jun 15, 2026, 02_51_01 AM (4).png	Tropical Birthday Dessert Table	Visible photo and catalogue context	Birthday and milestone themes
ChatGPT Image Jun 14, 2026, 11_04_34 PM (4).png	Tropical Birthday Display	Visible photo and catalogue context	Birthday and milestone themes
ChatGPT Image Jun 15, 2026, 02_27_44 AM (7).png	Tropical Birthday Display	Visible photo and catalogue context	Birthday and milestone themes
ChatGPT Image Jun 15, 2026, 02_51_03 AM (10).png	Tropical Birthday Display	Visible photo and catalogue context	Birthday and milestone themes
Birthday theme1.png	White and Gold Birthday Backdrop	File name and visible photo	Birthday and milestone themes
738395988_1773032303689777_2856028005893033296_n.jpg	Pink Balloon Floral Backdrop	Visible photo and catalogue context	Balloon styling and backdrops
ChatGPT Image Jun 15, 2026, 02_22_57 AM (6).png	Balloon Centrepiece Table Setting	Visible photo and catalogue context	Balloon styling and backdrops
ChatGPT Image Jun 14, 2026, 11_04_36 PM (8).png	Balloon Column Character Display	Visible photo and catalogue context	Balloon styling and backdrops
ChatGPT Image Jun 14, 2026, 11_17_36 PM (10).png	Balloon Column Entrance	Visible photo and catalogue context	Balloon styling and backdrops
ChatGPT Image Jun 15, 2026, 10_34_49 AM (7).png	Black and Gold Draped Backdrop	Visible photo and catalogue context	Balloon styling and backdrops
ChatGPT Image Jun 15, 2026, 03_09_55 AM (7).png	Blue and White Balloon Setup	Visible photo and catalogue context	Balloon styling and backdrops
